conflict_new_id,conflict_name,dyad_new_id,dyad_name,type_of_violence,active_year,country,conflict_dyad,dyad_ep_start,dyad_ep_end,dyad_recurrence_date,dyad_ep_id,conf_ep_start,conf_ep_end,conf_recurrence_date,conf_ep_id,location,incompatibility,territory_name,type_of_conflict,region,conf_subid,conf_recurrence,confactor_recurrence,dyad_recurrence,factions,link_type_1,link_id_1,link_type_2,link_id_2,link_type_3,link_id_3,link_type_4,link_id_4,link_type_5,link_id_5,link_type_6,link_id_6,dyad_recurrence_years,conf_recurrence_years,conf_ep_low,conf_ep_best,conf_ep_high,dyad_ep_low,dyad_ep_best,dyad_ep_high,conf_ep_freq,dyad_ep_freq,cont_dyad,cont_conf
222,Myanmar (Burma): Government,434,Government of Myanmar (Burma) - ABSDF,1,0,Myanmar (Burma),222_434,11/3/1999,11/3/1999,,222_434_1999,11/3/1999,11/3/1999,1/3/2002,222_1999,Myanmar (Burma),2,,3,3,1,4,0,0,,,,,,,,,,,,,,,3,1,1,1,1,1,1,1,1,0,0
222,Myanmar (Burma): Government,14273,Government of Myanmar (Burma) - PSLF,1,0,Myanmar (Burma),222_14273,5/2/1994,5/2/1994,1/3/2002,222_14273_1994,1/1/1994,5/2/1994,11/3/1999,222_1994,Myanmar (Burma),2,,3,3,2,2,2,1,,,,,,,,,,,,,,8,5,26,26,26,1,1,1,2,1,0,0
222,Myanmar (Burma): Government,14273,Government of Myanmar (Burma) - PSLF,1,0,Myanmar (Burma),222_14273,1/3/2002,1/4/2002,3/20/2013,222_14273_2002,1/3/2002,1/4/2002,3/20/2013,222_2002,Myanmar (Burma),2,,3,3,2,1,1,2,,,,,,,,,,,,,,11,11,2,2,2,2,2,2,2,2,0,0
222,Myanmar (Burma): Government,14273,Government of Myanmar (Burma) - PSLF,1,1,Myanmar (Burma),222_14273,3/20/2013,9/3/2018,,222_14273_2018,3/20/2013,9/3/2018,,222_2018,Myanmar (Burma),2,,3,3,2,0,0,0,,,,,,,,,,,,,,,,251,262,546,251,262,546,86,86,0,0
223,Myanmar (Burma): Arakan,442,Government of Myanmar (Burma) - RSO,1,1,Myanmar (Burma),223_442,12/1/1991,12/26/1991,3/15/1994,223_442_1991,12/1/1991,12/26/1991,3/15/1994,223_1991,Myanmar (Burma),1,Arakan,3,3,1,1,1,1,,,,,,,,,,,,,,3,3,25,25,25,25,25,25,3,3,0,0
223,Myanmar (Burma): Arakan,442,Government of Myanmar (Burma) - RSO,1,1,Myanmar (Burma),223_442,3/15/1994,6/23/1994,1/26/1998,223_442_1994,3/15/1994,6/23/1994,1/26/1998,223_1994,Myanmar (Burma),1,Arakan,3,3,1,1,1,2,,,,,,,,,,,,,,4,4,109,109,109,109,109,109,9,9,0,0
223,Myanmar (Burma): Arakan,442,Government of Myanmar (Burma) - RSO,1,0,Myanmar (Burma),223_442,1/26/1998,1/26/1998,11/10/2000,223_442_1998,1/26/1998,1/26/1998,11/10/2000,223_1998,Myanmar (Burma),1,Arakan,3,3,1,1,1,1,,,,,,,,,,,,,,2,2,3,3,3,3,3,3,1,1,0,0
223,Myanmar (Burma): Arakan,442,Government of Myanmar (Burma) - RSO,1,0,Bangladesh,223_442,11/10/2000,11/10/2000,11/20/2012,223_442_2000,11/10/2000,11/10/2000,11/20/2012,223_2000,Myanmar (Burma),1,Arakan,3,3,1,1,1,1,,,,,,,,,,,,,,12,12,11,11,11,11,11,11,1,1,0,0
223,Myanmar (Burma): Arakan,442,Government of Myanmar (Burma) - RSO,1,0,Myanmar (Burma),223_442,11/20/2012,11/22/2012,5/13/2014,223_442_2012,11/20/2012,11/22/2012,5/13/2014,223_2012,Myanmar (Burma),1,Arakan,3,3,1,1,2,1,,,,,,,,,,,,,,2,2,1,1,1,1,1,1,1,1,0,0
223,Myanmar (Burma): Arakan,442,Government of Myanmar (Burma) - RSO,1,0,Myanmar (Burma),223_442,5/13/2014,5/16/2014,,223_442_2014,5/13/2014,12/26/2018,,223_2018,Myanmar (Burma),1,Arakan,3,3,1,0,0,0,,,,,,,,,,,,,,,,513,527,723,2,2,6,48,2,0,0
223,Myanmar (Burma): Arakan,11387,Government of Myanmar (Burma) - AA,1,1,Myanmar (Burma),223_11387,3/29/2015,12/26/2018,,223_11387_2018,5/13/2014,12/26/2018,,223_2018,Myanmar (Burma),1,Arakan,3,3,1,0,0,0,,,,,,,,,,,,,,,,513,527,723,36,48,180,48,22,0,0
223,Myanmar (Burma): Arakan,15069,Government of Myanmar (Burma) - ARSA,1,1,Myanmar (Burma),223_15069,10/9/2016,8/26/2017,,223_15069_2017,5/13/2014,12/26/2018,,223_2018,Myanmar (Burma),1,Arakan,3,3,1,0,0,0,,,,,,,,,,,,,,,,513,527,723,475,477,537,48,24,0,0
224,Myanmar (Burma): Mon,445,Government of Myanmar (Burma) - NMSP,1,1,Myanmar (Burma),224_445,1/30/1990,3/22/1990,2/14/1994,224_445_1990,1/30/1990,3/22/1990,2/14/1994,224_1990,Myanmar (Burma),1,Mon,3,3,1,1,2,1,,,,,,,,,,,,,,4,4,112,112,112,112,112,112,3,3,0,0
224,Myanmar (Burma): Mon,445,Government of Myanmar (Burma) - NMSP,1,0,Myanmar (Burma),224_445,2/14/1994,1/29/1995,7/16/2013,224_445_1995,2/14/1994,12/23/1996,7/16/2013,224_1996,Myanmar (Burma),1,Mon,3,3,1,1,2,2,3,1,224_446_1996,,,,,,,,,,,18,17,99,99,99,19,19,19,7,6,0,0
224,Myanmar (Burma): Mon,445,Government of Myanmar (Burma) - NMSP,1,0,Myanmar (Burma),224_445,7/16/2013,7/16/2013,,224_445_2013,7/16/2013,7/16/2013,,224_2013,Myanmar (Burma),1,Mon,3,3,1,0,0,0,,,,,,,,,,,,,,,,3,3,3,3,3,3,1,1,0,0
224,Myanmar (Burma): Mon,446,Government of Myanmar (Burma) - BMA,1,1,Myanmar (Burma),224_446,11/1/1996,12/23/1996,,224_446_1996,2/14/1994,12/23/1996,7/16/2013,224_1996,Myanmar (Burma),1,Mon,3,3,1,1,2,1,4,2,224_445_1995,,,,,,,,,,,,17,99,99,99,80,80,80,7,1,0,0
227,India: Government,451,Government of India - PWG,1,1,India,227_451,2/1/1989,12/2/1994,1/1/1996,227_451_1994,2/1/1989,12/31/2018,,227_2018,India,2,,3,3,1,0,0,1,,,,,,,,,,,,,,2,,6208,6415,7328,656,664,855,1937,50,0,0
227,India: Government,451,Government of India - PWG,1,1,India,227_451,1/1/1996,11/18/2004,,227_451_2004,2/1/1989,12/31/2018,,227_2018,India,2,,3,3,1,0,0,3,,4,227_453_2018,,,,,,,,,,,,,6208,6415,7328,888,915,948,1937,211,1,0
227,India: Government,452,Government of India - MCC,1,0,India,227_452,2/12/1992,2/12/1992,5/6/1995,227_452_1992,2/1/1989,12/31/2018,,227_2018,India,2,,3,3,1,0,0,1,,,,,,,,,,,,,,3,,6208,6415,7328,1,1,1,1937,1,0,0
227,India: Government,452,Government of India - MCC,1,0,India,227_452,5/6/1995,1/20/1996,2/16/1998,227_452_1996,2/1/1989,12/31/2018,,227_2018,India,2,,3,3,1,0,0,1,,,,,,,,,,,,,,2,,6208,6415,7328,10,10,10,1937,2,0,0
227,India: Government,452,Government of India - MCC,1,1,India,227_452,2/16/1998,9/3/2004,,227_452_2004,2/1/1989,12/31/2018,,227_2018,India,2,,3,3,1,0,0,3,,4,227_453_2018,,,,,,,,,,,,,6208,6415,7328,264,272,276,1937,58,1,0
227,India: Government,453,Government of India - CPI-Maoist,1,1,India,227_453,11/20/2004,12/31/2018,,227_453_2018,2/1/1989,12/31/2018,,227_2018,India,2,,3,3,1,0,0,0,6,6,227_451_2004,6,227_452_2004,2,227_11932_2008,,,,,,,,,6208,6415,7328,4347,4508,5193,1937,1596,0,0
227,India: Government,11932,Government of India - CPI-ML-J,1,0,India,227_11932,10/24/1998,4/18/2001,2/18/2003,227_11932_2001,2/1/1989,12/31/2018,,227_2018,India,2,,3,3,1,0,0,2,,,,,,,,,,,,,,2,,6208,6415,7328,28,31,31,1937,12,0,0
227,India: Government,11932,Government of India - CPI-ML-J,1,0,India,227_11932,2/18/2003,7/4/2003,9/13/2006,227_11932_2003,2/1/1989,12/31/2018,,227_2018,India,2,,3,3,1,0,0,3,,4,227_453_2018,,,,,,,,,,,3,,6208,6415,7328,3,3,3,1937,2,1,0
227,India: Government,11932,Government of India - CPI-ML-J,1,0,India,227_11932,9/13/2006,11/26/2008,,227_11932_2008,2/1/1989,12/31/2018,,227_2018,India,2,,3,3,1,0,0,0,,,,,,,,,,,,,,,,6208,6415,7328,11,11,11,1937,5,0,0
230,Yemen (North Yemen): Government,459,Government of Yemen (North Yemen) - AQAP,1,1,Yemen (North Yemen),230_459,11/3/2009,10/16/2015,2/14/2017,230_459_2015,11/3/2009,12/25/2018,,230_2018,Yemen (North Yemen),2,,4,2,1,0,0,1,,,,,,,,,,,,,,2,,21684,21917,25883,5466,5500,6126,1904,844,0,0
230,Yemen (North Yemen): Government,459,Government of Yemen (North Yemen) - AQAP,1,1,Yemen (North Yemen),230_459,2/14/2017,8/26/2018,,230_459_2018,11/3/2009,12/25/2018,,230_2018,Yemen (North Yemen),2,,4,2,1,0,0,0,,,,,,,,,,,,,,,,21684,21917,25883,10,39,41,1904,19,0,0
230,Yemen (North Yemen): Government,10855,Government of Yemen (North Yemen) - Ansarallah,1,1,Yemen (North Yemen),230_10855,3/13/2014,1/19/2015,,230_10855_2015,11/3/2009,12/25/2018,,230_2018,Yemen (North Yemen),2,,4,2,2,0,0,4,,5,230_14595_2018,,,,,,,,,,,,,21684,21917,25883,661,661,706,1904,30,1,0
230,Yemen (North Yemen): Government,14595,Government of Yemen (North Yemen) - Forces of Hadi,1,1,Yemen (North Yemen),230_14595,3/7/2015,12/25/2018,,230_14595_2018,11/3/2009,12/25/2018,,230_2018,Yemen (North Yemen),2,,4,2,2,0,0,0,,,,,,,,,,,,,,,,21684,21917,25883,15547,15717,19010,1904,1011,0,0
231,Myanmar (Burma): Kachin,461,Government of Myanmar (Burma) - KIO,1,1,Myanmar (Burma),231_461,2/21/1989,12/31/1992,3/21/2001,231_461_1992,2/21/1989,12/31/1992,3/21/2001,231_1992,Myanmar (Burma),1,Kachin,3,3,1,1,1,2,,,,,,,,,,,,,,9,9,269,269,269,269,269,269,8,8,0,0
231,Myanmar (Burma): Kachin,461,Government of Myanmar (Burma) - KIO,1,0,Myanmar (Burma),231_461,3/21/2001,3/21/2001,1/2/2006,231_461_2001,3/21/2001,3/21/2001,1/2/2006,231_2001,Myanmar (Burma),1,Kachin,3,3,1,1,1,1,,,,,,,,,,,,,,5,5,11,11,11,11,11,11,2,2,0,0
231,Myanmar (Burma): Kachin,461,Government of Myanmar (Burma) - KIO,1,0,Myanmar (Burma),231_461,1/2/2006,1/2/2006,6/9/2011,231_461_2006,1/2/2006,1/2/2006,6/9/2011,231_2006,Myanmar (Burma),1,Kachin,3,3,1,1,1,2,,,,,,,,,,,,,,5,5,6,6,6,6,6,6,1,1,0,0
231,Myanmar (Burma): Kachin,461,Government of Myanmar (Burma) - KIO,1,1,Myanmar (Burma),231_461,6/9/2011,8/31/2018,,231_461_2018,6/9/2011,8/31/2018,,231_2018,Myanmar (Burma),1,Kachin,3,3,1,0,0,0,,,,,,,,,,,,,,,,1322,1362,3347,1322,1362,3347,223,223,0,0
233,Guatemala: Government,469,Government of Guatemala - URNG,1,0,Guatemala,233_469,1/1/1989,11/30/1996,,233_469_1996,1/1/1989,11/30/1996,,233_1996,Guatemala,2,,3,5,1,0,0,0,,,,,,,,,,,,,,,,433,439,759,433,439,759,271,271,0,0
234,Israel: Palestine,474,Government of Israel - PFLP,1,0,Lebanon,234_474,2/5/1989,8/10/1996,7/9/2001,234_474_1996,2/5/1989,12/13/2018,,234_2018,Israel,1,Palestine,3,2,1,0,0,2,,,,,,,,,,,,,,5,,6150,6407,7089,65,65,71,2154,32,0,0
234,Israel: Palestine,474,Government of Israel - PFLP,1,0,Israel,234_474,7/9/2001,11/14/2006,2/11/2008,234_474_2006,2/5/1989,12/13/2018,,234_2018,Israel,1,Palestine,3,2,1,0,0,1,,,,,,,,,,,,,,2,,6150,6407,7089,48,54,63,2154,33,0,0
234,Israel: Palestine,474,Government of Israel - PFLP,1,0,Israel,234_474,2/11/2008,4/9/2008,6/28/2010,234_474_2008,2/5/1989,12/13/2018,,234_2018,Israel,1,Palestine,3,2,1,0,0,1,,,,,,,,,,,,,,2,,6150,6407,7089,2,2,2,2154,2,0,0
234,Israel: Palestine,474,Government of Israel - PFLP,1,0,Israel,234_474,6/28/2010,6/28/2010,10/14/2012,234_474_2010,2/5/1989,12/13/2018,,234_2018,Israel,1,Palestine,3,2,1,0,0,1,,,,,,,,,,,,,,2,,6150,6407,7089,1,1,1,2154,1,0,0
234,Israel: Palestine,474,Government of Israel - PFLP,1,0,Israel,234_474,10/14/2012,10/14/2012,2/27/2014,234_474_2012,2/5/1989,12/13/2018,,234_2018,Israel,1,Palestine,3,2,1,0,0,1,,,,,,,,,,,,,,2,,6150,6407,7089,1,1,1,2154,1,0,0
234,Israel: Palestine,474,Government of Israel - PFLP,1,0,Israel,234_474,2/27/2014,2/27/2014,6/16/2017,234_474_2014,2/5/1989,12/13/2018,,234_2018,Israel,1,Palestine,3,2,1,0,0,1,,,,,,,,,,,,,,3,,6150,6407,7089,1,1,1,2154,1,0,0
234,Israel: Palestine,474,Government of Israel - PFLP,1,0,Israel,234_474,6/16/2017,7/29/2018,,234_474_2018,2/5/1989,12/13/2018,,234_2018,Israel,1,Palestine,3,2,1,0,0,0,,,,,,,,,,,,,,,,6150,6407,7089,4,4,5,2154,3,0,0
234,Israel: Palestine,475,Government of Israel - PFLP-GC,1,0,Lebanon,234_475,3/11/1989,11/12/1995,10/26/1997,234_475_1995,2/5/1989,12/13/2018,,234_2018,Israel,1,Palestine,3,2,1,0,0,1,,,,,,,,,,,,,,2,,6150,6407,7089,74,74,84,2154,18,0,0
234,Israel: Palestine,475,Government of Israel - PFLP-GC,1,0,Lebanon,234_475,10/26/1997,10/26/1997,5/20/2000,234_475_1997,2/5/1989,12/13/2018,,234_2018,Israel,1,Palestine,3,2,1,0,0,1,,,,,,,,,,,,,,3,,6150,6407,7089,1,1,1,2154,1,0,0
234,Israel: Palestine,475,Government of Israel - PFLP-GC,1,0,Lebanon,234_475,5/20/2000,5/20/2002,7/23/2006,234_475_2002,2/5/1989,12/13/2018,,234_2018,Israel,1,Palestine,3,2,1,0,0,1,,,,,,,,,,,,,,4,,6150,6407,7089,2,6,7,2154,3,0,0
234,Israel: Palestine,475,Government of Israel - PFLP-GC,1,0,Lebanon,234_475,7/23/2006,8/6/2006,,234_475_2006,2/5/1989,12/13/2018,,234_2018,Israel,1,Palestine,3,2,1,0,0,0,,,,,,,,,,,,,,,,6150,6407,7089,3,3,3,2154,2,0,0
234,Israel: Palestine,476,Government of Israel - Fatah,1,0,Israel,234_476,9/14/1989,6/14/1995,11/1/2000,234_476_1995,2/5/1989,12/13/2018,,234_2018,Israel,1,Palestine,3,2,1,0,0,1,,,,,,,,,,,,,,5,,6150,6407,7089,114,118,143,2154,63,0,0
234,Israel: Palestine,476,Government of Israel - Fatah,1,1,Israel,234_476,11/1/2000,11/15/2002,1/7/2004,234_476_2002,2/5/1989,12/13/2018,,234_2018,Israel,1,Palestine,3,2,1,0,0,2,,,,,,,,,,,,,,2,,6150,6407,7089,126,129,136,2154,71,0,0
234,Israel: Palestine,476,Government of Israel - Fatah,1,0,Israel,234_476,1/7/2004,6/7/2010,8/11/2014,234_476_2010,2/5/1989,12/13/2018,,234_2018,Israel,1,Palestine,3,2,1,0,0,1,,,,,,,,,,,,,,4,,6150,6407,7089,181,189,209,2154,120,0,0
234,Israel: Palestine,476,Government of Israel - Fatah,1,0,Israel,234_476,8/11/2014,1/13/2016,,234_476_2016,2/5/1989,12/13/2018,,234_2018,Israel,1,Palestine,3,2,1,0,0,0,,,,,,,,,,,,,,,,6150,6407,7089,4,4,4,2154,4,0,0
234,Israel: Palestine,477,Government of Israel - Hamas,1,1,Israel,234_477,5/3/1989,12/12/2018,,234_477_2018,2/5/1989,12/13/2018,,234_2018,Israel,1,Palestine,3,2,1,0,0,0,,,,,,,,,,,,,,,,6150,6407,7089,3980,4182,4635,2154,1043,0,0
234,Israel: Palestine,478,Government of Israel - PIJ,1,1,Israel,234_478,11/25/1990,11/2/1995,4/1/1997,234_478_1995,2/5/1989,12/13/2018,,234_2018,Israel,1,Palestine,3,2,2,0,0,1,,,,,,,,,,,,,,2,,6150,6407,7089,61,61,67,2154,25,0,0
234,Israel: Palestine,478,Government of Israel - PIJ,1,0,Israel,234_478,4/1/1997,10/3/2015,10/30/2017,234_478_2015,2/5/1989,12/13/2018,,234_2018,Israel,1,Palestine,3,2,2,0,0,1,,,,,,,,,,,,,,2,,6150,6407,7089,723,736,796,2154,343,0,0
234,Israel: Palestine,478,Government of Israel - PIJ,1,0,Israel,234_478,10/30/2017,5/27/2018,,234_478_2018,2/5/1989,12/13/2018,,234_2018,Israel,1,Palestine,3,2,2,0,0,0,,,,,,,,,,,,,,,,6150,6407,7089,13,13,13,2154,2,0,0
234,Israel: Palestine,479,Government of Israel - PNA,1,1,Israel,234_479,1/2/1995,9/27/1996,5/1/2000,234_479_1996,2/5/1989,12/13/2018,,234_2018,Israel,1,Palestine,3,2,1,0,0,1,,3,234_476_1995,,,,,,,,,,,4,,6150,6407,7089,69,69,70,2154,15,0,0
234,Israel: Palestine,479,Government of Israel - PNA,1,1,Israel,234_479,5/1/2000,11/22/2002,4/21/2004,234_479_2002,2/5/1989,12/13/2018,,234_2018,Israel,1,Palestine,3,2,1,0,0,2,,,,,,,,,,,,,,2,,6150,6407,7089,236,238,275,2154,123,0,0
234,Israel: Palestine,479,Government of Israel - PNA,1,0,Israel,234_479,4/21/2004,4/21/2007,,234_479_2007,2/5/1989,12/13/2018,,234_2018,Israel,1,Palestine,3,2,1,0,0,0,,,,,,,,,,,,,,,,6150,6407,7089,21,29,31,2154,19,0,0
234,Israel: Palestine,480,Government of Israel - AMB,1,1,Israel,234_480,10/30/2000,12/27/2004,,234_480_2004,2/5/1989,12/13/2018,,234_2018,Israel,1,Palestine,3,2,1,0,0,3,,4,234_476_2010,,,,,,,,,,,,,6150,6407,7089,277,277,304,2154,156,1,0
234,Israel: Palestine,481,Government of Israel - PRC,1,0,Israel,234_481,8/19/2001,12/4/2002,3/17/2004,234_481_2002,2/5/1989,12/13/2018,,234_2018,Israel,1,Palestine,3,2,1,0,0,1,,,,,,,,,,,,,,2,,6150,6407,7089,12,12,15,2154,6,0,0
234,Israel: Palestine,481,Government of Israel - PRC,1,0,Israel,234_481,3/17/2004,10/24/2012,6/11/2014,234_481_2012,2/5/1989,12/13/2018,,234_2018,Israel,1,Palestine,3,2,1,0,0,1,,,,,,,,,,,,,,2,,6150,6407,7089,125,132,146,2154,64,0,0
234,Israel: Palestine,481,Government of Israel - PRC,1,0,Israel,234_481,6/11/2014,7/6/2014,,234_481_2014,2/5/1989,12/13/2018,,234_2018,Israel,1,Palestine,3,2,1,0,0,0,,,,,,,,,,,,,,,,6150,6407,7089,6,6,6,2154,3,0,0
251,India: Nagaland,508,Government of India - NSCN-IM,1,1,India,251_508,5/8/1992,7/22/1997,11/29/1999,251_508_1997,5/8/1992,7/22/1997,11/29/1999,251_1997,India,1,Nagaland,3,3,1,1,1,1,,3,11475_2011,,,,,,,,,,,2,2,369,371,416,369,371,416,60,60,0,0
251,India: Nagaland,508,Government of India - NSCN-IM,1,0,India,251_508,11/29/1999,2/26/2003,10/5/2005,251_508_2003,11/29/1999,2/26/2003,10/5/2005,251_2003,India,1,Nagaland,3,3,1,1,1,1,,3,11475_2011,,,,,,,,,,,2,2,50,62,62,50,62,62,14,14,0,0
251,India: Nagaland,508,Government of India - NSCN-IM,1,0,India,251_508,10/5/2005,10/29/2007,2/13/2009,251_508_2007,10/5/2005,10/29/2007,2/13/2009,251_2007,India,1,Nagaland,3,3,1,1,1,1,,3,11475_2011,,,,,,,,,,,2,2,13,13,13,13,13,13,5,5,0,0
251,India: Nagaland,508,Government of India - NSCN-IM,1,0,India,251_508,2/13/2009,11/22/2014,12/15/2016,251_508_2014,2/13/2009,11/22/2014,12/15/2016,251_2014,India,1,Nagaland,3,3,1,1,1,1,,3,11475_2011,,,,,,,,,,,2,2,33,40,50,33,40,50,24,24,0,0
251,India: Nagaland,508,Government of India - NSCN-IM,1,0,India,251_508,12/15/2016,12/8/2018,,251_508_2018,12/15/2016,12/8/2018,,251_2018,India,1,Nagaland,3,3,1,0,0,0,,3,11475_2011,3,13653_14685_2018,,,,,,,,,,,10,10,10,10,10,10,7,7,0,0
253,Myanmar (Burma): Karenni,511,Government of Myanmar (Burma) - KNPP,1,0,Myanmar (Burma),253_511,7/5/1989,7/9/1989,8/1/1992,253_511_1989,7/5/1989,7/9/1989,8/1/1992,253_1989,Myanmar (Burma),1,Karenni,3,3,1,1,1,1,,,,,,,,,,,,,,3,3,18,18,18,18,18,18,3,3,0,0
253,Myanmar (Burma): Karenni,511,Government of Myanmar (Burma) - KNPP,1,1,Myanmar (Burma),253_511,8/1/1992,10/8/1992,7/1/1995,253_511_1992,8/1/1992,10/8/1992,7/1/1995,253_1992,Myanmar (Burma),1,Karenni,3,3,1,1,1,1,,,,,,,,,,,,,,3,3,402,404,404,402,404,404,6,6,0,0
